X_Value,Voltage,Voltage_0,Temperature_1
0,-0.009512,22.63592,24.229685
0.01,-0.014346,22.632699,22.873096
0.02,-0.015957,22.63592,24.54864
0.03,-0.012734,22.629478,24.229685
0.04,-0.014346,22.632699,22.952941
0.05,-0.011123,22.639142,23.990408
0.06,-0.014346,22.629478,23.910638
0.07,-0.014346,22.639142,23.511698
0.08,-0.011123,22.632699,22.793245
0.09,-0.015957,22.632699,24.149932
0.097006,-0.014346,22.632699,23.591497
0.107006,-0.014346,22.63592,24.628365
0.117006,-0.017568,22.632699,23.352082
0.127006,-0.017568,22.632699,22.633526
0.137006,-0.012734,22.626257,24.229685
0.147006,-0.015957,22.632699,24.229685
0.157006,-0.011123,22.632699,23.112614
0.167006,-0.012734,22.632699,23.910638
0.177006,-0.012734,22.63592,23.272265
0.187006,-0.012734,22.632699,22.873096
0.193011,-0.011123,22.629478,23.910638
0.203011,-0.006289,22.63592,24.787796
0.213011,-0.012734,22.632699,22.952941
0.223011,-0.011123,22.63592,24.070173
0.233011,-0.007901,22.632699,24.309433
0.243011,-0.009512,22.629478,22.713388
0.253011,-0.014346,22.63592,24.229685
0.263011,-0.009512,22.63592,24.947203
0.273011,-0.009512,22.632699,23.910638
0.283011,-0.015957,22.629478,23.032781
0.289016,-0.011123,22.63592,23.272265
0.299016,-0.009512,22.632699,23.671291
0.309016,-0.011123,22.63592,23.910638
0.319016,-0.009512,22.629478,24.229685
0.329016,-0.007901,22.632699,23.431893
0.339016,-0.009512,22.63592,23.431893
0.349016,-0.015957,22.629478,23.511698
0.359016,-0.015957,22.642363,24.389175
0.369016,-0.009512,22.63592,23.910638
0.379016,-0.014346,22.63592,22.234129
0.385022,-0.011123,22.632699,23.830861
0.395022,-0.011123,22.632699,23.751079
0.405022,-0.012734,22.639142,23.272265
0.415022,-0.009512,22.632699,24.628365
0.425022,-0.012734,22.632699,23.751079
0.435022,-0.011123,22.63592,23.511698
0.445022,-0.011123,22.632699,23.352082
0.455022,-0.012734,22.629478,23.990408
0.465022,-0.009512,22.63592,23.511698
0.475022,-0.007901,22.626257,23.112614
0.480027,-0.011123,22.642363,23.591497
0.490027,-0.007901,22.632699,24.309433
0.500027,-0.014346,22.63592,23.511698
0.510027,-0.012734,22.63592,22.793245
0.520027,-0.011123,22.63592,24.149932
0.530027,-0.012734,22.63592,24.149932
0.540027,-0.014346,22.63592,23.272265
0.550027,-0.006289,22.639142,23.272265
0.560027,-0.012734,22.639142,24.149932
0.570027,-0.011123,22.642363,24.309433
0.576033,-0.012734,22.63592,23.990408
0.586033,-0.011123,22.639142,24.309433
0.596033,-0.014346,22.63592,22.873096
0.606033,-0.014346,22.632699,23.671291
0.616033,-0.009512,22.632699,23.671291
0.626033,-0.009512,22.639142,24.229685
0.636033,-0.009512,22.63592,23.192443
0.646033,-0.007901,22.632699,23.910638
0.656033,-0.012734,22.639142,23.431893
0.666033,-0.014346,22.629478,23.910638
